,Factory Name,Address,Country,Total Number of Workers,Men,Women,Total Men Percentage,Total Women Percentage,Total Employee
35,Four Brothers Fashion,"66 68 Haji Dil Mohammad Avenue Dhaka Uddan Mohammadpur Dhaka Dhaka1207",Bangladesh,2286,982.0,1304.0,(43.0)%,(57.0)%,2286.0
36,Four H Apparels Ltd,295 Jalalabad Baluchara Hathazari Road Chittagong Chittagong 4214,Bangladesh,3439,2835.0,604.0,(82.4)%,(17.6)%,3439.0
37,Frame House Footwear Ltd,Dakhsin Para Thana Bus Stand Dhamrai Manikganj Manikganj 1350,Bangladesh,1714,858.0,856.0,(50.1)%,(49.9)%,1714.0
38,Generation Next Fashions Ltd,Dhonaid Earpur Savar Dhaka Dhaka 1341,Bangladesh,5061,2080.0,2981.0,(41.1)%,(58.9)%,5061.0
39,Golden Refit Garments Ltd,589 Chirirchala Baghairbazar Bhabanipur Gazipur Gazipur 1740,Bangladesh,3365,1178.0,2187.0,(35.0)%,(65.0)%,3365.0
40,Golden Stitch Design Limited,Rajaghat Rajfulbaria Savar Dhaka Dhaka 1347,Bangladesh,1783,804.0,979.0,(45.1)%,(54.9)%,1783.0
41,GoodEarth Apparels Ltd,Tepibari Sreepur Gazipur Gazipur 1740,Bangladesh,2756,983.0,1773.0,(35.7)%,(64.3)%,2756.0
42,Goumati Knitwear,Talla Road Khapur Fatullah Narayangonj Narayangonj 1400,Bangladesh,1670,859.0,811.0,(51.4)%,(48.6)%,1670.0
43,Habitus Fashion Ltd,Gazariapara Bhowal Mirzapur Tangail Tangail 1703,Bangladesh,3592,1449.0,2143.0,(40.3)%,(59.7)%,3592.0
44,Hasan Tanvir Fashion Wears Ltd,Plot 397 Chandan Chowrasta Joydebpur Road Gazipur Gazipur 1702,Bangladesh,1857,855.0,1002.0,(46.0)%,(54.0)%,1857.0
45,Hop Lun Apparel Ltd Unit 2,Noujor Kadda Bazar Gazipur Sadar Gazipur Gazipur 1702,Bangladesh,1916,347.0,1569.0,(18.1)%,(81.9)%,1916.0
46,Ibrahim Knit Garments Pvt Ltd,Ailpara Pathantoli Siddirgonj Narayangonj Narayangonj 1400,Bangladesh,2566,1820.0,746.0,(70.9)%,(29.1)%,2566.0
47,Impress Newtex Composite Textile Ltd,Gorai Industrial Area Mirzapur Tangail Tangail 1940,Bangladesh,5308,2993.0,2315.0,(56.4)%,(43.6)%,5308.0
48,International Classic Composite Ltd,Naijur Kodda Bazar Joydebpur Gazipur Gazipur 1346,Bangladesh,3798,2089.0,1709.0,(55.0)%,(45.0)%,3798.0
49,International Knitwear & Apparels Limited,Beximco Industrial Park Sarabo Kashimpur Gazipur Gazipur 1346,Bangladesh,7379,4014.0,3365.0,(54.4)%,(45.6)%,7379.0
50,Intimate Attire Ltd,Jamirdia Valuka Mymensingh Mymensingh 2240,Bangladesh,2143,566.0,1577.0,(26.4)%,(73.6)%,2143.0
51,JL Fashions Ltd,Baniarchala Vhabanipur Gazipur Sadar Gazipur Gazipur 1740,Bangladesh,2989,2090.0,899.0,(69.9)%,(30.1)%,2989.0
52,Kaixi Fashion Bangladesh Co Ltd,FS SFB 2 Dhaka EPZ (OLD ZONE) Ashulia Savar Dhaka Dhaka 1349,Bangladesh,1890,329.0,1561.0,(17.4)%,(82.6)%,1890.0
53,KC Jacket Wear Company,K C Industrial Park Ratuti Katchkura Uttarkhan Dhaka Dhaka 1230,Bangladesh,1358,583.0,775.0,(42.9)%,(57.1)%,1358.0
54,Khantex Fashions Ltd,Barotopa Mawna Sreepur Gazipur Gazipur 1740,Bangladesh,1759,790.0,969.0,(44.9)%,(55.1)%,1759.0
55,L Usine Fashions Channapara,Channapara Sreepur Gazipur Gazipur 1740,Bangladesh,1642,989.0,653.0,(60.2)%,(39.8)%,1642.0
56,Lakhsma Innerwear Ltd,South vangnahati Sreepur Gazipur Gazipur 1740,Bangladesh,862,302.0,560.0,(35.0)%,(65.0)%,862.0
57,Lantabur Apparels Ltd,Holding 295 Block C Word 9 Boherarchala Sreepur Gazipur Gazipur 1740,Bangladesh,2221,1406.0,815.0,(63.3)%,(36.7)%,2221.0
58,Laurels Fashion Ltd,154 330 F D Tower Kunia Targas Gazipur Gazipur 1704,Bangladesh,905,577.0,328.0,(63.8)%,(36.2)%,905.0
59,Life Textile Pvt Ltd,69-71 BSCIC Konabari Gazipur Gazipur 1700,Bangladesh,1190,811.0,379.0,(68.2)%,(31.8)%,1190.0
60,Magic Works,"8 54 Jhalpaza 10 Hobirbari Mymensingh Bhaluka Mymensingh Mymensingh2240",Bangladesh,1567,852.0,715.0,(54.4)%,(45.6)%,1567.0
61,Mahdeen Sweater Ltd,Jamirdia Valuka Mymensingh Mymensingh 2240,Bangladesh,1724,1135.0,589.0,(65.8)%,(34.2)%,1724.0
62,Majumder Garments Ltd,113 1 Mudafa Paschim Para Tongi Gazipur Gazipur 1711,Bangladesh,2990,1347.0,1643.0,(45.1)%,(54.9)%,2990.0
63,MB Knit Fashion,B 164 166 B 185 187 BSCIC Fatullah Narayangonj Narayangonj 1420,Bangladesh,890,490.0,400.0,(55.1)%,(44.9)%,890.0
64,Mehnaz Styles & Craft Ltd,Industry SL No 56 Ward 06 Tongabari Ashulia Savar Dhaka Dhaka 1341,Bangladesh,3535,1410.0,2125.0,(39.9)%,(60.1)%,3535.0
65,MG Niche Flair Limited Unit 2,240 Bhuiyan Para Goadnail Siddirgonj Narayangonj Narayangonj 1430,Bangladesh,2355,1138.0,1217.0,(48.3)%,(51.7)%,2355.0
66,MG Niche Stitch Limited,Noya Para Doguri Mirjapur Gazipur Gazipur 1703,Bangladesh,1612,738.0,874.0,(45.8)%,(54.2)%,1612.0
67,MG Shirtex Limited,31 1 Luxmipura Chandona Joydebpur Gazipur Gazipur 1700,Bangladesh,1253,522.0,731.0,(41.7)%,(58.3)%,1253.0
68,MNR Design,Baraider Chala Sreepur Gazipur Gazipur 1740,Bangladesh,1998,1229.0,769.0,(61.5)%,(38.5)%,1998.0
69,Modele De Capital Ind Ltd,Talla Road Kha-pur Fatullah Narayangonj Narayangonj 1400,Bangladesh,2542,1277.0,1265.0,(50.2)%,(49.8)%,2542.0
70,Modele De Capital Ind Ltd (Unit 2),No 2 Hajiganj Narayangonj Narayangonj 1400,Bangladesh,660,305.0,355.0,(46.2)%,(53.8)%,660.0
71,Needle Drop Ltd,50 Chadpara Bason Road National University Joydepur Gazipur Gazipur 1704,Bangladesh,2475,1133.0,1342.0,(45.8)%,(54.2)%,2475.0
72,Neo Fashion Ltd,Varari Rajfulbaria Tetuljhara Savar Dhaka Dhaka 1340,Bangladesh,6626,2462.0,4164.0,(37.2)%,(62.8)%,6626.0
