,Factory Name,Address,Country,Total Number of Workers,Men,Women,Total Men Percentage,Total Women Percentage,Total Employee
145,Anhui Yishang Clothing Co Ltd,No 1099 Shengli East Road Dongcheng Industries Park Jieshou Anhui 236503,China,261,68.0,193.0,(26.1)%,(73.9)%,261.0
146,"Asia Socks Anhui Dongzhi Yixiang Knitting CoLtd",Huangni Village Yaodu Town Dongzhi County Chizhou Anhui 247299,China,86,17.0,69.0,(19.8)%,(80.2)%,86.0
147,Beauty Yaurient Cosmetics Accessories Co Ltd,"24 Zhiyang Road Zhangge Community Fucheng Street LongHua ShenzhenGuangdong 518110",China,177,68.0,109.0,(38.4)%,(61.6)%,177.0
148,Beiliu City Liu Jing Jia Yu Leather Goods Co Ltd,"No 0057 Xihi Street Liujing Town Beiliu City Guangxi Zhuang AutonomousRegion Yulin Guangxi 537423",China,91,18.0,73.0,(19.8)%,(80.2)%,91.0
149,Blue Farm Foods Fujian Co Ltd,"No 18 Gaoxin Street & No 3 Anhe Road Guantou Community, Wabab StreetLuojiang District Fujian 362010",China,345,144.0,201.0,(41.7)%,(58.3)%,345.0
150,C&G International Gift Manufacture Co Ltd,"No 9 Huanbao Er Road Qingdao Environmental Protection Industrial Zone JimoDistrict Qingdao Shandong 266201",China,136,80.0,56.0,(58.8)%,(41.2)%,136.0
151,Cangnan Hongda Bag Co Ltd,"1 2 4 5 Floor No 19 Block Bag Micro Pioneer Park Cangnan County QiankuTown Wenzhou Zhejiang 325804",China,72,10.0,62.0,(13.9)%,(86.1)%,72.0
152,Chanco Electronics Factory,"No 27 JinNan Street Shatou Village Changan Town Dongguan Guangdong523880",China,66,39.0,27.0,(59.1)%,(40.9)%,66.0
153,Changshu Baorun Textile Co ltd,"8 Taizhou Road High-tech Industrial Park Changshu Economic andTechnological Development Zone Changshu Jiangsu 215556",China,48,11.0,37.0,(22.9)%,(77.1)%,48.0
154,Changshu Kailan Knitting Co Ltd,"No 8 Penghu Road New & Hi-tech Industrial Development Zone ChangshuJiangsu 215506",China,106,22.0,84.0,(20.8)%,(79.2)%,106.0
155,Chaoan Maoyuan Shoes Co Ltd,"Tingqian Zone Daxiang Village Dongfeng Town, Chaoan County ChaozhouGuangdong 515634",China,109,47.0,62.0,(43.1)%,(56.9)%,109.0
156,Chaoyu Knitting Co Ltd,No 12-8 Yungu Road Zhutang Town Jiangyin Jiangsu 214415,China,131,35.0,96.0,(26.7)%,(73.3)%,131.0
157,ChaoZhou HuaSheng Shoes Factory,"The Middle of Wunan Road Wuyang Village Fuyang Town Fuyang ChaoanChaozhou Guangdong 515645",China,102,53.0,49.0,(52.0)%,(48.0)%,102.0
158,Chaozhou Yonghuang Ceramics Co Ltd,"ShengLian Industrial Zone ShengLian Village FuYang Town ChaoAn DistrictChaozhou Guangdong 515645",China,83,38.0,45.0,(45.8)%,(54.2)%,83.0
159,Chengle Lufeng Footwear Co Ltd,No 1 Yantai Road Jiangtian Town Changle City Fuzhou Fujian 350206,China,374,163.0,211.0,(43.6)%,(56.4)%,374.0
160,Chi Zhou Xinhao Shoes Co Ltd,No 88 Jiu Hua Nan Road LingYang Town Chi Zhou Anhui 242801,China,199,77.0,122.0,(38.7)%,(61.3)%,199.0
161,Chibi Zhiqiang Garment Co Ltd,No 123 Jinjishan Road Chibi Hubei 437300,China,37,1.0,36.0,(2.7)%,(97.3)%,37.0
162,"Chongqing Changlong Textile Technology CoLtd","Building F4 Small and Medium Enterprises Incubator Park No 22 WuyangAvenue Wuyang Sub-district Xiushan Chongqing Sichuan 409900",China,160,32.0,128.0,(20.0)%,(80.0)%,160.0
163,Chuxin Arts Crafts Co Ltd,"8 South of Herong west Viillage Ligezhuang Town Jiaozhou City QingdaoShandong 266316",China,25,6.0,19.0,(24.0)%,(76.0)%,25.0
164,City Footwear Manufactory,No 28 Chengnan 2nd Road Nanqu Zhongshan Guangdong#] 528455,China,110,51.0,59.0,(46.4)%,(53.6)%,110.0
165,Cixi Kingtong Shoes Co Ltd,No 281 Zhangxin North Road Xiaolin Town Cixi Zhejiang 315321,China,74,19.0,55.0,(25.7)%,(74.3)%,74.0
166,Cixi Wanli Cap Manufacturing Co Ltd,15 Jianye Road Zhouxiang Town Cixi Zhejiang 315324,China,94,31.0,63.0,(33.0)%,(67.0)%,94.0
167,Cosbe Laboratory Inc,"No 1 A Building and No 5 Jinpu Road Diejin Industrial Zone 3 Daxue RoadJinping District Shantou Guangdong 515063",China,210,68.0,142.0,(32.4)%,(67.6)%,210.0
168,"Dehua Xingye Ceramics Science andTechnology Co Ltd","No 5 Xunzhong Road Xunzhong Town Dehua County Quanzhou Fujian362599",China,102,34.0,68.0,(33.3)%,(66.7)%,102.0
169,Deqing Soft Wind Costumes Co Ltd,No 89 Tiaxin Road Xinshideqing Deqing Zhejiang 313201,China,24,6.0,18.0,(25.0)%,(75.0)%,24.0
170,Dong Guan Winga Garment Factory Limited,No 20 Xuesheng Lane Chashan Town Dongguan Guangdong 523380,China,323,147.0,176.0,(45.5)%,(54.5)%,323.0
171,Dongguan City Bohao Arts & Crafts Co Ltd,"No 61 Miaobianwang Road Wangzhongming Avenue Miaobianwang VillageShipai Town Dongguan Guangdong 523343",China,68,30.0,38.0,(44.1)%,(55.9)%,68.0
172,Dongguan Creaton Handbag Factory,"Tian Tou Jiao Management Area Qiao Tou Town Dongguan Guangdong523529",China,65,31.0,34.0,(47.7)%,(52.3)%,65.0
173,Dongguan Dalang Yongjie Craft Jewelry Factory,"Floor 3 No 551 Fumin Middle Road Caibian Village Dalang Town DongguanGuangdong 523793",China,27,4.0,23.0,(14.8)%,(85.2)%,27.0
174,Dongguan Fengya Leather Ltd,"16 Baoya Road LuWu Industrial Zone Zenbu Village Chashan Town DongguanGuangdong 523378",China,143,67.0,76.0,(46.9)%,(53.1)%,143.0
175,Dongguan Hanway Arts and Crafts Co Ltd,"No 4 Building No 9 Zhaofeng Road Boxia Village Qishi Town DongguanGuangdong 523516",China,114,49.0,65.0,(43.0)%,(57.0)%,114.0
176,Dongguan Highroad Industry Co Limited,"2F & 3F Building B No 3 Lindong Road Lincun Community Tangxia TownDongguan Guangdong 523711",China,98,36.0,62.0,(36.7)%,(63.3)%,98.0
177,DongGuan Jeccy Accessory Co Ltd,"No 28 Chatang Road Tangjiao Village Chashan Town Dongguan Guangdong523380",China,109,62.0,47.0,(56.9)%,(43.1)%,109.0
178,DongGuan RuiHua Leather Products Co Ltd,No 290 Chaxing Road Chashan Town Dongguan Guangdong 523373,China,112,55.0,57.0,(49.1)%,(50.9)%,112.0
179,Dongguan Union Fashion Handbag Co Ltd,No 33 Jinyuan Road Liaobu Liaobu Town Dongguan Guangdong 523428,China,255,109.0,146.0,(42.7)%,(57.3)%,255.0
180,Dongguan VIP-TEK Enterprise Limited,No 17 Minchang Road Nance Humen Town Dongguan Guangdong 523932,China,191,94.0,97.0,(49.2)%,(50.8)%,191.0
181,Dongguan Yashi Leather Ltd,"No 10 Long Hua Road Zhouwu Community Dongchen Street DongguanGuangdong 523317",China,108,48.0,60.0,(44.4)%,(55.6)%,108.0
182,Dongguan Yayi Craft Ornament Co Ltd,"No 9 Huilong Road Dakan Village Huangjiang Town Dongguan Guangdong523758",China,72,41.0,31.0,(56.9)%,(43.1)%,72.0
183,Dongguan Yazhi Leather Handbag Co Ltd,"No 6 Cixia 2nd Road Wentang Community Dongcheng District DongguanGuangdong 523178",China,277,132.0,145.0,(47.7)%,(52.3)%,277.0
184,DongGuan ZhanGuan Metal Products Co Ltd,"No 37 East Market Street ShuJiu Villdge ChangPing Town DongguanGuangdong 518101",China,53,22.0,31.0,(41.5)%,(58.5)%,53.0
185,Donghai County Daqi Garment Co Ltd,"No 1 Haisheng Road West Side of 245 Provincial Highway Inner of theFangshan Town Industrial Area Donghai County Lianyungang Jiangsu 222341",China,92,11.0,81.0,(12.0)%,(88.0)%,92.0
186,Dongping Paco Garment Co Ltd,"Xiaodongmen Street Zhoucheng Sub-district Dongping County TaianShandong 271506",China,220,207.0,13.0,(94.1)%,(5.9)%,220.0
187,Dongtai Fuhong Knitwear Co Ltd,No 69 Toufu Rd Fudong Town Dongtai Jiangsu 224232,China,98,13.0,85.0,(13.3)%,(86.7)%,98.0
188,Dongyang ludewei leather Co Ltd,No 200 West Lake Lotus road Jiangbei Street Dongyang Zhejiang 322106,China,156,72.0,84.0,(46.2)%,(53.8)%,156.0
189,Dongyang Yilibei Hair Accessories Factory,"Building E Kunshan Road 3 Lianhuashan Community Baiyun Street DongyangZhejiang 322103",China,63,18.0,45.0,(28.6)%,(71.4)%,63.0
190,DongYang Zhenniu Knitting Co Ltd,"Building 4 No 461 West Ganxi Street Linjiang Community Jiangbei StreetDongyang Zhejiang 322103",China,449,175.0,274.0,(39.0)%,(61.0)%,449.0
191,Double Body Biotech Limited,"No 675 Qinghuiyi Road, Double Body Industrial Park Gonghuangbei LianxiVillage Zhenlong Town Huiyang District Huizhou Guangdong 516227",China,496,197.0,299.0,(39.7)%,(60.3)%,496.0
192,Fanchang Yunrui Garment Co Ltd,Fanchang Development Zone Fanchang County Wuhu Anhui 241204,China,375,43.0,332.0,(11.5)%,(88.5)%,375.0
193,Foshan Koodee Metal Co Ltd,"A Zone No 1 Dadao Street Lianshazhoutou Industry Area Danzhao TownNanhai District Foshan Guangdong 528237",China,171,94.0,77.0,(55.0)%,(45.0)%,171.0
194,Foshan Nanhai Lingfeng Baby Products Co Ltd,"No 2 Building (Complex building) No 1 Zhixing Road Xiqiao Textile IndustryBase Xiqiao Town Nanhai District Foshan Guangdong 528211",China,78,30.0,48.0,(38.5)%,(61.5)%,78.0
195,Fox Optics Inc,"No 5 Qinyu Avenue Shuijingtou Industrial Zone Taimushan Town FudingCity/Ningde City Fujian 355209",China,212,71.0,141.0,(33.5)%,(66.5)%,212.0
196,Fujian Dehua Guanhong Ceramic,"No 30 Xingci Road Chendong Industry Xunzhong Town Dehua CountyQuanzhou Fujian 362500",China,134,62.0,72.0,(46.3)%,(53.7)%,134.0
197,Fujian Dehua Huilong Ceramic Co Ltd,"Baomei Industrial Area No 283 Lingnan Road Longxun Town Dehua CountyQuanzhou Fujian 362599",China,177,92.0,85.0,(52.0)%,(48.0)%,177.0
198,Fujian Dehua Yusheng Crafts Co Ltd,"No 32 Shitai Road Xunzhong Town Dehua County Quanzhou City Fujian362599",China,158,54.0,104.0,(34.2)%,(65.8)%,158.0
199,Fujian Eagle Cultural and Creative Co Ltd,No 12 Shuangyue Road Shuangyue Industrial Zone Fuding Fujian 355203,China,753,338.0,415.0,(44.9)%,(55.1)%,753.0
200,Fujian Qicaihong Sports Technology Co Ltd,No 51 Xita Road Yinglin Town Jinjiang City Quanzhou Fujian 362205,China,231,71.0,160.0,(30.7)%,(69.3)%,231.0
201,Fujian Rumba Shoes Co Ltd,"No 6 Lingshan Road Economic Development Zone Jinjiang Quanzhou Fujian362205",China,446,224.0,222.0,(50.2)%,(49.8)%,446.0
202,Fujian Zuxing Sports Goods Co Ltd,No 66 South Yingbian Industrial Zone Chidian Town Jinjiang Fujian 362212,China,286,156.0,130.0,(54.5)%,(45.5)%,286.0
203,Fuqing Jianing Cosmetic Co Ltd,No 258 Xitou Village Yang Xia Town Fuqing Fujian 350323,China,101,30.0,71.0,(29.7)%,(70.3)%,101.0
204,Fuqing Sanqiang Shoes Co Ltd,"No 224 Jingyang Street Jingyang Village Jingyang Town Fuqing City FuzhouFujian 350304",China,100,53.0,47.0,(53.0)%,(47.0)%,100.0
205,Fuzhou Denglong Shoes Co Ltd,"No 816 Junbian Village Chengmen Town Cangshan District Fuxhou Fujian350018",China,98,39.0,59.0,(39.8)%,(60.2)%,98.0
206,Fuzhou Huahong Plastic Products Co Ltd,"Yangdangcuo Guanqian Village Xiangqian Town Minhou County FuzhouFujian 350112",China,48,19.0,29.0,(39.6)%,(60.4)%,48.0
207,Fuzhou Jinyi Gold and Silver Ornaments,"No 227 Jingyang Street Jingyang Village Jingyang Town Fuqing Fuzhou Fujian350304",China,103,34.0,69.0,(33.0)%,(67.0)%,103.0
208,Ganzhou Jun Bo Yuan Hangbag Co Ltd,"District 2 Jinlong Avenue Industrial Park Quannan County Ganzhou Jiangxi341899",China,274,30.0,244.0,(10.9)%,(89.1)%,274.0
209,Global Cosmetics China Company Limited,"No 13 Gaobao Road Tu Tang Industrial Zone Chang Ping DongguanGuangdong 523581",China,349,146.0,203.0,(41.8)%,(58.2)%,349.0
210,Greentouch Xiamen Corp Ltd,Building 1 2 3 4 No 746 Fengnan Road Tongan District Xiamen Fujian 361113,China,443,201.0,242.0,(45.4)%,(54.6)%,443.0
211,"Groupe Honour Yashan Woolen Knitwear CoLtd","No 9 Longkou Road Economic Development Zone Laixi Qingdao Shandong266699",China,130,28.0,102.0,(21.5)%,(78.5)%,130.0
212,"Guangdong QiCaiFeiXia Industrial Co Ltd No 1Subsidiary Company","Xibian Road Hegu Highway TongYu Town ChaoYang District ShantouGuangdong 515199",China,147,47.0,100.0,(32.0)%,(68.0)%,147.0
213,Guangdong ShengYiLong House,No 57 Lane 1 Nansi Street Qiaodong Road Dongguan Guangdong 523540,China,831,442.0,389.0,(53.2)%,(46.8)%,831.0
214,Guangdong Woma Animation Toys Co Ltd,"Dutou Xiazhou Industrial Shanghua Town Chenghai District ShantouGuangdong 515824",China,223,106.0,117.0,(47.5)%,(52.5)%,223.0
215,"Guangdong YiYu Craft & Hardware ElectricalFactory Co Ltd","Zhizhong Road Gangkou Fengxiang Street Chenghai District ShantouGuangdong 519855",China,74,23.0,51.0,(31.1)%,(68.9)%,74.0
216,Guangxi Gengmei Co Ltd,"Yulin Fumian Ecological Industrial Park Plot B10, North side of AirportApproach Road Shihe Town Fumian District Guangxi 537025",China,373,117.0,256.0,(31.4)%,(68.6)%,373.0
217,Guangxi Guilin Huahai Household Articles,Jinjiping Industrial Zone Xinping Town Lipu County Guilin Guangxi 546699,China,535,169.0,366.0,(31.6)%,(68.4)%,535.0
218,Guangzhou Bang Qi Leather Co Ltd,"No 32 Xiangxing Street New 6 group (self-composed) Hecheng Village ShilingTown Huadu Sub-district Guangzhou Guangdong 510850",China,146,65.0,81.0,(44.5)%,(55.5)%,146.0
219,"Guangzhou City Yeheng Children Products CoLtd","No 1 Liaozhu Road Zhongluotan Town Baiyun District Guangzhou Guangdong510545",China,41,16.0,25.0,(39.0)%,(61.0)%,41.0
220,"Guangzhou Dongda Electronic Technology CoLtd","5th Floor No 634 Shibei Road Dawei Village Dashi Street Panyu DistrictGuangzhou Guangdong 511430",China,66,18.0,48.0,(27.3)%,(72.7)%,66.0
221,"Guangzhou Jinpeng Leather Products LtdLianzhou Branch","2nd Floor Building 8 Middle & Micro Entrepreneurial Base No 10 NationalIndustrial Park Jiupo Town Lianzhou Guangdong 510850",China,113,26.0,87.0,(23.0)%,(77.0)%,113.0
222,Guangzhou Jun Mei Gift Company Limited,Hengling Village Shitan Town Zengcheng Guangzhou Guangdong 511330,China,34,16.0,18.0,(47.1)%,(52.9)%,34.0
223,Guilin Lixin Metal Goods Co Ltd,Changshuiling Indus Zone Lipu County Guilin Guangxi 546601,China,105,31.0,74.0,(29.5)%,(70.5)%,105.0
224,Guizhou Mingyueyu shoes Co Ltd,No 37 Wuligang Street Industrial Park Weining County Bijie Guizhou 553103,China,125,39.0,86.0,(31.2)%,(68.8)%,125.0
225,Guoya Creative Electronic (Shenzhen) Co Ltd,"Room 301 Building 1 No 20 Yuesheng First Road Xinhe Community FuhaiStreet Bao an District Shenzhen Guangdong 518103",China,63,22.0,41.0,(34.9)%,(65.1)%,63.0
226,Haining Emperor Home Textile Co Ltd,"The 3rd Floor Building 1 No 386 ChangHe Road ChangAn town HainingZhejiang 314408",China,34,7.0,27.0,(20.6)%,(79.4)%,34.0
227,Haining Had Socks Co Ltd,"Aside Boruqiao Village Economic Cooperatives Boruqiao VillageZhouwangmiao Town Haining Zhejiang 315799",China,67,25.0,42.0,(37.3)%,(62.7)%,67.0
228,Haiyan Xingyuan Garments Co Ltd,Huangqiao Industrial Park Yucheng Town Haiyan Zhejiang 314399,China,291,104.0,187.0,(35.7)%,(64.3)%,291.0
229,Haiyang Chengjia Sweater Co Ltd,No 21 Middle Haixiang Road Haiyang Shandong 265122,China,78,20.0,58.0,(25.6)%,(74.4)%,78.0
230,Haiyang Jindeli Sweater Co Ltd,"No 160 Fengxiang Road Fengcheng Subdistrict Office Haiyang City YantaiShandong 265118",China,135,43.0,92.0,(31.9)%,(68.1)%,135.0
231,Haiyang Senyu Garment Co Ltd,"No 283 Haiyang Road Bicheng Industry Park Haiyang City Yantai Shandong265110",China,126,31.0,95.0,(24.6)%,(75.4)%,126.0
232,Haiyang Xinzaochen Garment Co Ltd,No 2 Haijin Road Bicheng Industry Park Haiyang Shandong 265199,China,112,43.0,69.0,(38.4)%,(61.6)%,112.0
233,Haiyang Yingtong Sweater Co Ltd,"No 7 Fangyuan Road Fangyuan Industrial Park Haiyang Yantai Shandong265199",China,216,72.0,144.0,(33.3)%,(66.7)%,216.0
234,Hang Cheong He Yuan Garment Factory Ltd,"Aboard Industrial District A 205 Heyuan Avenue South He Yuan Guangdong517099",China,148,130.0,18.0,(87.8)%,(12.2)%,148.0
235,Hang Shing Garment Factory Group Ltd,"No 39 Shui Kou Avenue Shui Kou Subdistrict Office Hui Cheng District HuizhouGuangdong 516005",China,177,134.0,43.0,(75.7)%,(24.3)%,177.0
236,Hangzhou Aosheng Shoes Co Ltd,Pu Nan Village Linpu Town Xiaoshan District Hangzhou Zhejiang 311251,China,153,63.0,90.0,(41.2)%,(58.8)%,153.0
237,Hangzhou Chenggong Shoes Co Ltd,Taohu Village Puyang Town Xiaoshan District Hangzhou Zhejiang 311255,China,220,82.0,138.0,(37.3)%,(62.7)%,220.0
238,Hangzhou Huasheng Scarf Factory,279 Yangtang Road Tonglu Town Hangzhou Zhejiang 311599,China,113,49.0,64.0,(43.4)%,(56.6)%,113.0
239,Hangzhou Jiongyu Industrial Co Ltd,"Xiejia Industrial park Puyang Town Puyang Town Xiaoshan District HangzhouZhejiang 311255",China,180,77.0,103.0,(42.8)%,(57.2)%,180.0
240,Hangzhou Suzhan Textile Co Ltd,"4F Block 1 No 339 Wuzhou Road Yuhang Economic and Technologic ZoneHangzhou Zhejiang 310000",China,46,11.0,35.0,(23.9)%,(76.1)%,46.0
241,Hangzhou Tianguan Hats Factory,Huyang Chang Jingshan Town Yuhang County Hangzhou Zhejiang 311106,China,52,7.0,45.0,(13.5)%,(86.5)%,52.0
242,Hangzhou Yutu Knitting and Spinning Co Ltd,"No 318 Longfu Road Hengcun Town Tonglu County Hangzhou Zhejiang311512",China,82,27.0,55.0,(32.9)%,(67.1)%,82.0
243,"Health and Beyond Health Technology ChuzhouCo Ltd","No 307 Zhongxin Avenue Suchu Modern Industrial Park Chuzhou Anhui239065",China,392,133.0,259.0,(33.9)%,(66.1)%,392.0
244,Hefei Dingsheng Shoes Co Ltd,"No 4 Building East Fenglin Road Shuangdun Town Changfeng county HefeiAnhui 231131",China,47,8.0,39.0,(17.0)%,(83.0)%,47.0
245,Henan Frankman Garments Co Ltd,"No 1 Innovation Park of Poverty Alleviation Wuqiu Township ChangyuanCounty Xinxiang Henan 453415",China,143,7.0,136.0,(4.9)%,(95.1)%,143.0
246,HT Fashion Wenshang Co Ltd,"South of North District Jinshuiqiao Community Yiqiao Town Wenshang CountyJining Shandong 272502",China,454,35.0,419.0,(7.7)%,(92.3)%,454.0
247,Huahong Art Home Shares Co Ltd,No 1 Dashi Road Fotang Town Yinan Industrial Area Yiwu Zhejiang 322002,China,928,604.0,324.0,(65.1)%,(34.9)%,928.0
248,Huaian Hengtong Caps & Gloves Co Ltd,No 26 Chaohu Road Industrial Park Hongze County Huaian Jiangsu 223199,China,113,16.0,97.0,(14.2)%,(85.8)%,113.0
249,Huainan Shine Source Footwear Co,"No 222 Xingye Road Industrial Cluster Zone Ba Gong Shan District HuainanAnhui 232000",China,175,41.0,134.0,(23.4)%,(76.6)%,175.0
250,Huajia Sport Goods Co Ltd,"No 610 Fendong Area Chidian Village Chidian Town Jinjiang City QuanzhouFujian 362212",China,215,104.0,111.0,(48.4)%,(51.6)%,215.0
251,Hubei Dongyi Garment Co Ltd,"No. 2, Modoushan Road, Development Avenue Chibi City Hubei",China,275,39.0,236.0,(14.2)%,(85.8)%,275.0
252,Huihuang Garments Weaving Co Ltd Jinjang,"No 142 Gaoxing Road Gaohu Industrial Zone Yinglin Town Jinjiang Fujian362251",China,62,25.0,37.0,(40.3)%,(59.7)%,62.0
253,Huizhou City Taijie Shoes Co Ltd,"26 Tianfuwei Avenue Huangbu Town Huidong County Huizhou Guangdong516353",China,342,207.0,135.0,(60.5)%,(39.5)%,342.0
254,Huizhou Gao De Shoes Co Ltd,"No 123 Shoes City Road Jilong Town Huidong Country Huizhou Guangdong516353",China,276,157.0,119.0,(56.9)%,(43.1)%,276.0
255,Huizhou Weide Electronics Co Ltd,"No 660 East Boluo Street Luoyang Town Boluo County Huizhou Guangdong516100",China,240,121.0,119.0,(50.4)%,(49.6)%,240.0
256,Irma Cosmetics Co Ltd,No 55 TianHu South Road Qujiang District Quzhou Zhejiang 324022,China,81,19.0,62.0,(23.5)%,(76.5)%,81.0
257,Jenhon Jewelry Co Ltd,"No11 RongJi Road ShangSha Community ChangAn Town DongguanGuangdong 523870",China,37,7.0,30.0,(18.9)%,(81.1)%,37.0
258,Jia Shan Fly Outdoor Products Co Ltd,"No 1555 Yangguang West Road Luoxing Street Jiashan County JiaxingZhejiang 314199",China,98,20.0,78.0,(20.4)%,(79.6)%,98.0
259,Jiali Costume & Weaving Co Ltd,No 1 Binxi North Road Huahai Village Shenhu Town Jinjiang Fujian 362246,China,434,131.0,303.0,(30.2)%,(69.8)%,434.0
260,Jiande Feiyang Household Textiles Co Ltd,No 99 North Jianbei Road Qiantan Town Jiande Zhejiang 311602,China,137,103.0,34.0,(75.2)%,(24.8)%,137.0
261,Jiangsu Dongzhou Garment Co Ltd,"No 88 South Huanghe Road Economic Development Zone Siyang Jiangsu223835",China,569,80.0,489.0,(14.1)%,(85.9)%,569.0
262,Jiangsu Dreamland Textile Co Ltd,No 8 Jinhu Road Guli Town Changshu Jiangsu 215500,China,203,66.0,137.0,(32.5)%,(67.5)%,203.0
263,Jiangsu Guotai Shengtian Garments,"Building 4&5 No 320 2nd North Ring Road Yangshe Town ZhangjiagangJiangsu 215627",China,107,18.0,89.0,(16.8)%,(83.2)%,107.0
264,Jiangsu Shuangnan Garment Co Ltd,No 16 Qianjin Road Jincheng Street Suining County Xuzhou Jiangsu 221225,China,135,6.0,129.0,(4.4)%,(95.6)%,135.0
265,Jiangsu Xingsheng Brush Co Ltd,"No 799 Shuguang Road Xiaqiao Village Wantou Town Yangzhou Jiangsu225006",China,119,20.0,99.0,(16.8)%,(83.2)%,119.0
266,Jiangxi BOK Sports Industrial Co Ltd,"Floor 1-4 Building 11 Standard Workshop Ph1 Guzhang Industrial ParkShicheng County Ganzhou Jiangxi 341000",China,328,105.0,223.0,(32.0)%,(68.0)%,328.0
267,Jiangxi Hongzhuo Socks Co Ltd,"Huoju 9th Road Electronic Information Industrial Park Shangrao High-techZone Guangfeng District Shangrao Jiangxi 334600",China,496,150.0,346.0,(30.2)%,(69.8)%,496.0
268,Jiangxi Lufeng Footwear Co Ltd,"South of the City Industrial Park Yunshan Economic Development ZoneYongxiu Town Jiujiang Jiangxi 332000",China,311,199.0,112.0,(64.0)%,(36.0)%,311.0
269,Jiangxi Mingde Fashion Co Ltd,"No 7-8 Zone B Ganshang Pioneer Park south of Tiantou Road NingduIndustrial Park Ningdu County Ganzhou Jiangxi 341000",China,187,34.0,153.0,(18.2)%,(81.8)%,187.0
270,Jiangxi Sennuo Garment Co Ltd,"Light Industrial Base Lutian Industrial Zone Poyang County Shangrao Jiangxi334000",China,154,43.0,111.0,(27.9)%,(72.1)%,154.0
271,Jiangyin City Hengyou Clothing Co Ltd,No 28 Xinwei Road Zhutangtown Jiangyin City Wuxi Jiangsu 214415,China,162,42.0,120.0,(25.9)%,(74.1)%,162.0
272,Jiangyin City Jinchi Garments Co Ltd,"No 414 Xizhang Rd Xizhang Road Gushan Town Jiangyin City Jiangyin Jiangsu214413",China,98,33.0,65.0,(33.7)%,(66.3)%,98.0
273,Jiangyin Dongyuan Garment Factory,No 3 Tanxiang Road Zhutang Town Jiangyin Jiangsu 214424,China,213,91.0,122.0,(42.7)%,(57.3)%,213.0
274,Jiangyin Guanglong Garment Co Ltd,No 312 Jinshan Road Chengdong Street Jiangyin Jiangsu 214437,China,150,39.0,111.0,(26.0)%,(74.0)%,150.0
275,Jiangyin Jinyibao Knitting Co Ltd,"No 8 Wanfu Road and No 28 Zhulu Road Zhutang Town Jiangyin Jiangsu214000",China,95,42.0,53.0,(44.2)%,(55.8)%,95.0
276,Jiangyin Leda Dress Co Ltd,No 115 Yungu Rd Zhutang town Jiangyin Jiangsu 214415,China,275,103.0,172.0,(37.5)%,(62.5)%,275.0
277,Jiangyin Nuocheng Knitting Factory,No 118 Zhen Nan Road Zhutang Town Wuxi City Jiangyin Jiangsu 214415,China,136,29.0,107.0,(21.3)%,(78.7)%,136.0
278,Jiangyin Peiyang Knitting Garments Co Ltd,No 51 West Huan Bei Road Zhutang Town Jiangyin Jiangsu 214415,China,91,57.0,34.0,(62.6)%,(37.4)%,91.0
279,Jiangyin Rongfei Apparel Co Ltd,No 58 Beiqian Road Zhutang Town Jiangyin Jiangsu 214415,China,520,171.0,349.0,(32.9)%,(67.1)%,520.0
280,Jiangyin Sanjiu Knit Garments Co Ltd,No 268 Huanzhen Road Beiguo Gushan Town Jiangyin Jiangsu 214414,China,78,21.0,57.0,(26.9)%,(73.1)%,78.0
281,Jiangyin Shouxin Hat Co Ltd,No 107-1 Gutang Road Gushan Town Jiangyin Jiangsu 214413,China,34,14.0,20.0,(41.2)%,(58.8)%,34.0
282,Jiangyin Yashili Garment Factory,No 31 Huanxi Rd Zhutang Town Jiangyin Jiangsu 214415,China,463,148.0,315.0,(32.0)%,(68.0)%,463.0
283,Jiangyin Yitai Knitting,No 77 West of Huanbei Road Zhutang Town Jiangyin Jiangsu 214415,China,131,35.0,96.0,(26.7)%,(73.3)%,131.0
284,Jiangyin Youjin Garment Co Ltd,No 8 South Renmin Road Zhutang Town Jiangyin Jiangsu 214411,China,485,151.0,334.0,(31.1)%,(68.9)%,485.0
285,Jiashan Tong Sheng Luggage Co Ltd,Building 1 No 6 Binjiang Road Huimin Street Jiaxing Zhejiang,China,52,17.0,35.0,(32.7)%,(67.3)%,52.0
286,Jiaxing Jinshun Travelgoods Co Ltd,"No 9 Majiabang Jinxing Village Yuxin Town Nanhu District Jiaxing Zhejiang314009",China,209,119.0,90.0,(56.9)%,(43.1)%,209.0
287,Jiaxing Tongya Travel Goods Co Ltd,"No 1 Building No 3399 Shuanglong Road Daqiao Town Nanhu District JiaxingZhejiang 314006",China,111,61.0,50.0,(55.0)%,(45.0)%,111.0
288,Jin Hua Mengna Textile Co Ltd,"Jin Hua Jinxi Economic Development Zone Luobu Town Jinhua Zhejiang321081",China,321,112.0,209.0,(34.9)%,(65.1)%,321.0
289,Jin Jiang Yellow River Garments Co Ltd,Jinquan Road Kengbian Village Shenhu Town Jinjiang Fujian 362235,China,108,40.0,68.0,(37.0)%,(63.0)%,108.0
290,Jinan Caiyi Garment Co Ltd,282 Yuncui Street Jixi Industry Zone Pingyin County Jinan Shandong 250499,China,166,26.0,140.0,(15.7)%,(84.3)%,166.0
291,Jinhu Lingwei Knitting Co Ltd,"7 Jinhuan Road North Side Industrial Concentration District, Qianfeny Town,Jinhu Country, Huaian , Jiangsu,211616",China,86,17.0,69.0,(19.8)%,(80.2)%,86.0
